LOCATION_ID_BSA,LOCATION_NAME,Lat_GDA94,Long_GDA04,SURVEY_DATE,Time_HHMMSS,Depth_m,Data qualifier for Chlorophyll-a (ug/L),Chlorophyll-a (ug/L),Data qualifier for Secchi depth (metres),Secchi depth (metres),Data qualifier for Ammonia as N (mg/L),Ammonia as N (mg/L),Data qualifier for Nitrogen Oxides as N (mg/L),Nitrogen Oxides as N (mg/L),Data qualifier for Total Nitrogen as N (mg/L),Total Nitrogen as N (mg/L),Data qualifier for Organic Nitrogen as N (mg/L),Organic Nitrogen as N (mg/L),Data qualifier for Dissolved Oxygen concentration (mg/L),Dissolved Oxygen concentration (mg/L),Data qualifier for Dissolved Oxygen % saturation (%),Dissolved Oxygen % saturation (%),Data qualifier for pH (Unit),pH (Unit),Data qualifier for Filterable Reactive Phosphorus as P (mg/L),Filterable Reactive Phosphorus as P (mg/L),Data qualifier for Total Phosphorus as P (mg/L),Total Phosphorus as P (mg/L),Data qualifier for Salinity (PSU),Salinity (PSU),Data qualifier for Specific Conductance at 25 deg C (mS/cm),Specific Conductance at 25 deg C (mS/cm),Data qualifier for Temperature (deg C),Temperature (deg C),Data qualifier for Turbidity (NTU),Turbidity (NTU)
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,27/08/2007,100900,0.2,,1.6,,2.4,,0.014,,0.045,,0.24,,0.181,,7,,89.6,,7.79,<,0.002,,0.009,,26.8,,41.8,,19.81,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,27/08/2007,100900,2,,,,,,,,,,,,,,6.9,,89.2,,7.78,,,,,,26.9,,42,,19.77,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,27/08/2007,100900,3,,,,,,,,,,,,,,7,,89.3,,7.78,,,,,,27,,42,,19.75,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/09/2007,93600,0.2,,1.2,,2,,0.002,,0.003,,0.18,,0.175,,6.3,,87.3,,7.78,<,0.002,,0.006,,28,,43.4,,23.33,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/09/2007,93600,2,,,,,,,,,,,,,,6.3,,87.2,,7.78,,,,,,28,,43.4,,23.33,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/09/2007,93600,4,,,,,,,,,,,,,,6.3,,87.5,,7.8,,,,,,28.6,,44.2,,23.33,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/10/2007,90800,0.2,,0.8,,1.6,<,0.002,<,0.002,,0.16,,0.156,,5.8,,87,,8.11,<,0.002,,0.007,,33.9,,51.6,,25.85,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/10/2007,90800,2,,,,,,,,,,,,,,5.8,,87,,8.11,,,,,,33.9,,51.6,,25.82,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/10/2007,90800,4,,,,,,,,,,,,,,5.9,,88.1,,8.14,,,,,,34.3,,52.2,,25.7,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/11/2007,111200,0.2,,1.8,,1.4,,0.003,<,0.002,,0.17,,0.165,,6.4,,94.5,,7.96,<,0.002,,0.01,,33.5,,51,,25.36,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/11/2007,111200,2,,,,,,,,,,,,,,6.4,,95,,7.99,,,,,,33.7,,51.3,,25.32,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,10/12/2007,104400,0.2,,1.5,,2,<,0.002,<,0.002,,0.15,,0.146,,5.7,,89.3,,7.75,<,0.002,,0.005,,35,,53.1,,28.73,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,10/12/2007,104400,2,,,,,,,,,,,,,,5.6,,87.7,,7.77,,,,,,35.1,,53.1,,28.7,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,10/12/2007,104400,4,,,,,,,,,,,,,,5.5,,86.2,,7.77,,,,,,35.1,,53.1,,28.69,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,22/01/2008,90800,0.2,,4.5,,0.95,,,,,,,,,,5.6,,78.5,,7.85,,,,,,18.5,,29.8,,27.93,,7
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,22/01/2008,90800,2,,,,,,,,,,,,,,5.5,,78.3,,7.87,,,,,,19.7,,31.6,,27.86,,10
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,22/01/2008,90800,4,,,,,,,,,,,,,,5.5,,78,,7.88,,,,,,19.9,,32,,27.83,,7
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/02/2008,92300,0.2,,1.4,,0.1,,0.077,,0.031,,1.5,,1.392,,6.3,,75.6,,6.54,,0.006,,0.11,,0.486,,0.959,,24.22,,103
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/02/2008,92300,2,,,,,,,,,,,,,,6.3,,75.1,,6.52,,,,,,0.488,,0.962,,24.19,,146
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/02/2008,92300,3,,,,,,,,,,,,,,6.3,,74.9,,6.52,,,,,,0.488,,0.963,,24.19,,174
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/03/2008,92600,0.2,,3.1,,1.3,,0.004,,0.003,,0.28,,0.273,,6.3,,87.7,,7.74,<,0.002,,0.01,,24.6,,38.7,,25.21,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/03/2008,92600,2,,,,,,,,,,,,,,6.2,,87.1,,7.75,,,,,,24.9,,39.1,,25.18,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/03/2008,92600,3,,,,,,,,,,,,,,6.2,,86.8,,7.75,,,,,,25,,39.2,,25.18,,8
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,21/04/2008,120600,0.2,,1.9,,1.8,,0.007,,0.011,,0.2,,0.182,,6.3,,84.7,,7.39,<,0.002,,0.004,,28.7,,44.4,,21.99,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,21/04/2008,120600,2,,,,,,,,,,,,,,6.3,,84.6,,7.35,,,,,,28.8,,44.5,,21.97,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,4/07/2008,103800,0.2,,,,1.8,,,,,,,,,,6.9,,86.1,,7.71,,,,,,23.9,,37.6,,18.94,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,4/07/2008,104500,0.2,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,4/07/2008,103800,2,,,,,,,,,,,,,,7,,86.3,,7.72,,,,,,23.9,,37.7,,18.93,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,4/07/2008,103800,4,,,,,,,,,,,,,,7,,86.5,,7.71,,,,,,23.9,,37.7,,18.91,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,31/07/2008,83200,0.2,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,31/07/2008,83400,0.2,,,,0.5,,,,,,,,,,8.3,,87.7,,7.6,,,,,,8.13,,14,,15.44,,19
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,31/07/2008,83400,2,,,,,,,,,,,,,,8.3,,87.5,,7.61,,,,,,8.27,,14.3,,15.49,,21
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,31/07/2008,83400,4,,,,,,,,,,,,,,8.3,,87.4,,7.62,,,,,,8.4,,14.5,,15.52,,31
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,2/09/2008,103800,0.2,,1.3,,1.7,,,,,,,,,,6.5,,86,,7.69,,,,,,27.2,,42.4,,21.49,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,2/09/2008,103800,2,,,,,,,,,,,,,,6.4,,85.7,,7.71,,,,,,27.6,,42.8,,21.45,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,2/09/2008,103800,3.5,,,,,,,,,,,,,,6.4,,85.6,,7.72,,,,,,27.7,,43,,21.45,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,25/11/2008,80900,0.2,,2.3,,1.6,,,,,,,,,,6.2,,91.6,,7.82,,,,,,31.7,,48.6,,25.67,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,25/11/2008,80900,2,,,,,,,,,,,,,,6.2,,91.1,,7.81,,,,,,31.9,,48.9,,25.53,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,25/11/2008,80900,3.5,,,,,,,,,,,,,,6.2,,90.8,,7.81,,,,,,31.9,,48.9,,25.52,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,15/12/2008,113800,0.2,,2.5,,1.5,,,,,,,,,,5.8,,91.2,,7.6,,,,,,34.5,,52.4,,28.64,,8
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,15/12/2008,113800,2,,,,,,,,,,,,,,5.8,,91,,7.71,,,,,,35,,53,,28.57,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,15/12/2008,113800,3,,,,,,,,,,,,,,5.8,,90.7,,7.71,,,,,,35,,53,,28.59,,9
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/01/2009,104400,0.2,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/02/2009,93800,0.2,,7.7,,0.85,,,,,,,,,,6.4,,85.9,,7.45,,,,,,12.9,,21.4,,26.87,,9
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/02/2009,93800,2,,,,,,,,,,,,,,6.3,,85.6,,7.47,,,,,,13.6,,22.6,,26.91,,13
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/02/2009,93800,4,,,,,,,,,,,,,,6.3,,84.9,,7.48,,,,,,13.8,,22.9,,26.92,,21
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,29/04/2009,124400,0.2,,2.3,,1.75,,,,,,,,,,7.1,,94.8,,7.62,,,,,,22.5,,35.7,,23.65,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,29/04/2009,124400,2,,,,,,,,,,,,,,7.1,,95.7,,7.62,,,,,,22.6,,35.8,,23.62,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,29/04/2009,124400,3.5,,,,,,,,,,,,,,7.2,,96.3,,7.62,,,,,,22.6,,35.8,,23.62,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/05/2009,120400,0.2,,2.7,,,,,,,,,,,,6.9,,91,,7.67,,,,,,27.9,,43.3,,20.62,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/05/2009,120400,2,,,,,,,,,,,,,,7,,92.1,,7.67,,,,,,27.9,,43.3,,20.66,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/05/2009,120400,4,,,,,,,,,,,,,,7,,92.2,,7.67,,,,,,27.9,,43.3,,20.64,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/05/2009,120400,5,,,,,,,,,,,,,,7,,92.1,,7.68,,,,,,27.9,,43.3,,20.63,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/05/2009,120400,6,,,,,,,,,,,,,,7,,91.9,,7.69,,,,,,27.9,,43.3,,20.63,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,25/06/2009,111700,0.2,,0.1,,2.05,,,,,,,,,,7.1,,92.5,,7.68,,,,,,30.6,,47,,19.68,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,25/06/2009,111700,2,,,,,,,,,,,,,,7.1,,92.4,,7.68,,,,,,30.7,,47.2,,19.69,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,25/06/2009,111700,4,,,,,,,,,,,,,,7,,92.3,,7.69,,,,,,30.7,,47.3,,19.69,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,25/06/2009,111700,5,,,,,,,,,,,,,,7,,92.1,,7.67,,,,,,30.6,,47.1,,19.65,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/07/2009,103700,0.2,,1.3,,2.5,,,,,,,,,,7.6,,99.7,,7.56,,,,,,33.2,,50.7,,18.83,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/07/2009,103700,2,,,,,,,,,,,,,,7.4,,96.4,,7.55,,,,,,33.3,,50.7,,18.78,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/08/2009,90700,0.2,,,,1.9,,,,,,,,,,7.4,,99.6,,7.82,,,,,,34,,51.7,,19.87,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/08/2009,91000,0.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/08/2009,90700,2,,,,,,,,,,,,,,7.4,,99.2,,7.81,,,,,,34,,51.7,,19.88,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/08/2009,90700,3.5,,,,,,,,,,,,,,7.4,,99.1,,7.8,,,,,,34,,51.7,,19.88,,8
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/09/2009,90900,0.2,,1,,2.25,,,,,,,,,,6.1,,87.4,,7.7,,,,,,36,,54.4,,23.21,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/09/2009,90900,2,,,,,,,,,,,,,,6.1,,88.2,,7.76,,,,,,36.2,,54.6,,23.53,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/09/2009,90900,3,,,,,,,,,,,,,,6.1,,88.3,,7.76,,,,,,36.2,,54.6,,23.54,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/10/2009,110500,0.2,,2,,2.1,,,,,,,,,,6.5,,94.4,,7.96,,,,,,37.4,,56.2,,23.3,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/10/2009,110500,2,,,,,,,,,,,,,,6.6,,95.3,,7.96,,,,,,37.4,,56.3,,23.28,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/10/2009,110500,4,,,,,,,,,,,,,,6.6,,96,,7.97,,,,,,37.4,,56.3,,23.22,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/11/2009,103500,0.2,,1.7,,2.2,,,,,,,,,,6,,92.9,,7.91,,,,,,38.8,,58,,26.75,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/11/2009,103500,2,,,,,,,,,,,,,,6,,92.7,,7.9,,,,,,38.8,,58,,26.75,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/11/2009,103500,3.5,,,,,,,,,,,,,,5.8,,90.3,,7.9,,,,,,38.8,,58,,26.73,,5
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,16/12/2009,93100,0.2,,1,,2.9,,,,,,,,,,5.4,,86.7,,7.88,,,,,,39.6,,59,,28.07,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,16/12/2009,93100,2,,,,,,,,,,,,,,5.4,,86.4,,7.87,,,,,,39.7,,59.1,,28.08,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,16/12/2009,93100,3.5,,,,,,,,,,,,,,5.4,,86,,7.87,,,,,,39.7,,59.1,,28.09,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,21/01/2010,124400,0.2,,0.6,>,2.4,,,,,,,,,,6.5,,99.1,,7.96,,,,,,28.1,,43.5,,29.15,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,21/01/2010,124400,2,,,,,,,,,,,,,,6.4,,98,,7.95,,,,,,28.2,,43.8,,29.07,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,21/01/2010,124400,2.5,,,,,,,,,,,,,,6.4,,96.9,,7.95,,,,,,28.2,,43.7,,29.07,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,16/02/2010,103800,0.2,,9.2,,0.8,,,,,,,,,,5,,69.7,,7.27,,,,,,11.9,,20,,28.74,,8
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,16/02/2010,103800,2,,,,,,,,,,,,,,5,,69.3,,7.3,,,,,,13.8,,22.9,,28.75,,8
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,16/02/2010,103800,4,,,,,,,,,,,,,,4.6,,64.9,,7.29,,,,,,14.4,,23.8,,28.77,,8
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/03/2010,105300,0.2,,6.3,,0.5,,,,,,,,,,6.2,,77.1,,7.19,,,,,,6.92,,12.1,,24.58,,15
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/03/2010,105300,2,,,,,,,,,,,,,,6.1,,76.3,,7.18,,,,,,7.01,,12.2,,24.53,,16
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,18/03/2010,105300,3,,,,,,,,,,,,,,6,,75.2,,7.16,,,,,,7.08,,12.4,,24.46,,23
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/04/2010,124600,0.2,,3,,1.3,,,,,,,,,,5.6,,76,,7.42,,,,,,23.4,,36.9,,24.04,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,19/04/2010,124600,1.5,,,,,,,,,,,,,,5.5,,75.1,,7.36,,,,,,23.4,,37,,24.04,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/05/2010,83900,0.2,,1.9,,2.15,,,,,,,,,,6.7,,88.8,,7.88,,,,,,30.8,,47.3,,20.52,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/05/2010,83900,2,,,,,,,,,,,,,,6.7,,88.9,,7.89,,,,,,30.9,,47.5,,20.5,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/06/2010,73000,0.2,,1.2,,2.4,,,,,,,,,,7.7,,97.9,,8.12,,,,,,32,,49,,17.9,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/06/2010,73000,2,,,,,,,,,,,,,,7.7,,98,,8.11,,,,,,32.1,,49.1,,17.91,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/06/2010,73000,4,,,,,,,,,,,,,,7.7,,98.2,,8.11,,,,,,32.1,,49.1,,17.91,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/07/2010,102600,0.2,,0.4,,2.3,,,,,,,,,,7.2,,95.7,,7.93,,,,,,34.2,,51.9,,18.97,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/07/2010,102600,2,,,,,,,,,,,,,,7.3,,96,,8.04,,,,,,34.2,,52,,18.87,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/07/2010,102600,3.5,,,,,,,,,,,,,,7.3,,95.9,,8.04,,,,,,34.3,,52.1,,18.88,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/08/2010,100400,0.2,,1.5,,2,,,,,,,,,,6.7,,84.5,,8.21,,,,,,29.4,,45.3,,18.19,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/08/2010,100400,2,,,,,,,,,,,,,,6.7,,84.6,,8.22,,,,,,29.5,,45.5,,18.24,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,26/08/2010,100400,3,,,,,,,,,,,,,,6.7,,85.1,,8.24,,,,,,29.9,,46.1,,18.3,,9
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,22/09/2010,85500,0.2,,1.1,,2.1,,,,,,,,,,6.5,,87.4,,8.05,,,,,,29.4,,45.4,,21.72,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,22/09/2010,85500,2,,,,,,,,,,,,,,6.4,,86.5,,8.07,,,,,,29.5,,45.5,,21.73,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,27/10/2010,120900,0.2,,,,3,,,,,,,,,,6.5,,94.4,,7.92,,,,,,30,,46.2,,25.73,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,27/10/2010,120900,2,,,,,,,,,,,,,,6.4,,92.1,,7.92,,,,,,30.1,,46.3,,25.55,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,27/10/2010,120900,4,,,,,,,,,,,,,,6.3,,91.9,,7.92,,,,,,30.2,,46.5,,25.58,,1
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,24/11/2010,104900,0.2,,0.6,,2.1,,,,,,,,,,6.7,,94.2,,7.64,,,,,,31.5,,48.3,,23.49,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,24/11/2010,104900,2,,,,,,,,,,,,,,6.7,,94.7,,7.63,,,,,,32.4,,49.6,,23.13,,2
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,24/11/2010,104900,4,,,,,,,,,,,,,,6.7,,95.1,,7.63,,,,,,32.6,,49.8,,23.12,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,24/11/2010,104900,5.5,,,,,,,,,,,,,,6.7,,95,,7.61,,,,,,32.6,,49.8,,23.11,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,16/12/2010,71000,0.2,,,,0.1,,,,,,,,,,6,,72.9,,6.13,,,,,,0.295,,0.586,,25.05,,107
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,16/12/2010,71000,2,,,,,,,,,,,,,,6,,72.2,,6.09,,,,,,0.322,,0.638,,24.94,,110
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,1/02/2011,93900,0.2,,31.5,,0.3,,,,,,,,,,6.5,,85,,7.17,,,,,,6,,10.6,,27.48,,37
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,1/02/2011,93900,2,,,,,,,,,,,,,,6.4,,85.2,,7.32,,,,,,8.62,,14.8,,27.31,,36
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,1/02/2011,93900,3,,,,,,,,,,,,,,6.4,,84.8,,7.33,,,,,,8.81,,15.1,,27.31,,49
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/02/2011,122000,0.2,,10.7,,0.6,,,,,,,,,,7.2,,100.3,,7.89,,,,,,20.2,,32.4,,26.33,,28
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/02/2011,122000,1.5,,,,,,,,,,,,,,6.8,,94.3,,7.9,,,,,,20.2,,32.4,,26.34,,46
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/03/2011,120200,0.2,,1,,0.15,,,,,,,,,,6.3,,79.2,,6.11,,,,,,0.08,,0.16,,26.93,,139
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/03/2011,120200,2,,,,,,,,,,,,,,6.4,,79.2,,6.06,,,,,,0.071,,0.143,,26.08,,148
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,23/03/2011,120200,4,,,,,,,,,,,,,,6.4,,78.8,,6.02,,,,,,0.08,,0.161,,25.99,,149
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,25/05/2011,143500,0.2,,1.2,,1,,,,,,,,,,7.3,,90.8,,7.64,,,,,,18.1,,29.3,,21.12,,7
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,25/05/2011,143500,2,,,,,,,,,,,,,,7.2,,89.5,,7.63,,,,,,18.6,,30,,21.03,,8
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,9/06/2011,151400,0.2,,2.4,,1.4,,,,,,,,,,7.6,,95,,8.04,,,,,,23.6,,37.2,,19.34,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,9/06/2011,151400,2,,,,,,,,,,,,,,7.5,,93.7,,7.98,,,,,,23.8,,37.5,,19.39,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,9/06/2011,151400,4,,,,,,,,,,,,,,7.4,,92.6,,7.97,,,,,,23.9,,37.7,,19.44,,6
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,6/07/2011,124800,0.2,,0.8,,1.9,,,,,,,,,,8.3,,102,,7.6,,,,,,28.5,,44.1,,17.27,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,6/07/2011,124800,2,,,,,,,,,,,,,,8.2,,101.8,,7.6,,,,,,28.7,,44.5,,17.29,,3
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,6/07/2011,124800,4,,,,,,,,,,,,,,8.2,,101.7,,7.6,,,,,,28.9,,44.7,,17.3,,4
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/09/2011,104400,0.2,,5,,0.8,,,,,,,,,,6.5,,89.6,,7.76,,,,,,33.1,,50.4,,21.93,,21
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/09/2011,104400,2,,,,,,,,,,,,,,6.5,,89.6,,7.75,,,,,,33.1,,50.4,,21.91,,18
1.37E+12,GREGORY RIVER 3.0km FROM MOUTH,-25.16821,152.5335,28/09/2011,104400,4,,,,,,,,,,,,,,6.5,,89.5,,7.75,,,,,,33.1,,50.5,,21.87,,25
